((2016, 7), 0.0)
((2016, 6), 47.66250000000001)
((2016, 5), 29.250000000000004)
((2016, 4), 26.900000000000006)
((2016, 3), 19.962500000000006)
((2016, 2), 21.5625)
((2016, 1), 22.325000000000003)
((2015, 12), 28.925000000000008)
((2015, 11), 63.88750000000002)
((2015, 10), 2.2625)
((2015, 9), 101.29999999999998)
((2015, 8), 26.987499999999997)
((2015, 7), 119.09999999999997)
((2015, 6), 78.66250000000002)
((2015, 5), 93.22499999999998)
((2015, 4), 15.337499999999999)
((2015, 3), 42.61250000000001)
((2015, 2), 24.825000000000003)
((2015, 1), 59.11250000000003)
((2014, 12), 35.46250000000001)
((2014, 11), 52.42500000000005)
((2014, 10), 72.13749999999999)
((2014, 9), 48.45000000000002)
((2014, 8), 90.81249999999999)
((2014, 7), 22.9875)
((2014, 6), 75.1375)
((2014, 5), 58.000000000000014)
((2014, 4), 31.762500000000003)
((2014, 3), 36.56250000000001)
((2014, 2), 43.71250000000002)
((2014, 1), 62.57500000000008)
((2013, 12), 42.26250000000003)
((2013, 11), 46.37500000000003)
((2013, 10), 53.875)
((2013, 9), 26.187500000000007)
((2013, 8), 54.075)
((2013, 7), 54.5625)
((2013, 6), 61.324999999999996)
((2013, 5), 47.92500000000001)
((2013, 4), 38.287500000000016)
((2013, 3), 7.387499999999998)
((2013, 2), 25.52500000000002)
((2013, 1), 21.525000000000006)
((2012, 12), 66.9333333333334)
((2012, 11), 68.64999999999999)
((2012, 10), 65.58333333333333)
((2012, 9), 72.75)
((2012, 8), 68.81666666666665)
((2012, 7), 59.066666666666684)
((2012, 6), 132.19999999999996)
((2012, 5), 22.96666666666667)
((2012, 4), 62.78333333333335)
((2012, 3), 8.549999999999999)
((2012, 2), 28.66666666666667)
((2012, 1), 43.55000000000004)
((2011, 12), 42.133333333333375)
((2011, 11), 13.466666666666667)
((2011, 10), 43.75000000000001)
((2011, 9), 52.566666666666684)
((2011, 8), 86.26666666666665)
((2011, 7), 94.91666666666667)
((2011, 6), 88.35000000000001)
((2011, 5), 37.85)
((2011, 4), 14.916666666666666)
((2011, 3), 19.833333333333336)
((2011, 2), 24.51666666666668)
((2011, 1), 35.13333333333335)
((2010, 12), 37.18333333333339)
((2010, 11), 93.54999999999994)
((2010, 10), 52.53333333333336)
((2010, 9), 43.08333333333335)
((2010, 8), 108.05)
((2010, 7), 92.39999999999999)
((2010, 6), 48.65000000000001)
((2010, 5), 67.1666666666667)
((2010, 4), 23.783333333333335)
((2010, 3), 23.88333333333334)
((2010, 2), 52.75000000000005)
((2010, 1), 35.98333333333334)
((2009, 12), 53.450000000000045)
((2009, 11), 64.21666666666665)
((2009, 10), 56.83333333333338)
((2009, 9), 29.950000000000006)
((2009, 8), 61.566666666666684)
((2009, 7), 113.16666666666663)
((2009, 6), 49.76666666666667)
((2009, 5), 54.16666666666668)
((2009, 4), 2.8000000000000007)
((2009, 3), 34.48333333333334)
((2009, 2), 24.78333333333335)
((2009, 1), 15.883333333333331)
((2008, 12), 43.48333333333338)
((2008, 11), 46.75000000000003)
((2008, 10), 59.566666666666684)
((2008, 9), 47.36666666666668)
((2008, 8), 138.51666666666657)
((2008, 7), 85.2)
((2008, 6), 42.933333333333344)
((2008, 5), 23.133333333333336)
((2008, 4), 20.25)
((2008, 3), 42.200000000000024)
((2008, 2), 28.250000000000004)
((2008, 1), 44.9666666666667)
((2007, 12), 54.700000000000024)
((2007, 11), 50.68333333333337)
((2007, 10), 28.116666666666674)
((2007, 9), 61.86666666666668)
((2007, 8), 54.166666666666664)
((2007, 7), 95.96666666666665)
((2007, 6), 108.94999999999999)
((2007, 5), 40.51666666666667)
((2007, 4), 21.249999999999996)
((2007, 3), 40.51666666666668)
((2007, 2), 33.066666666666684)
((2007, 1), 68.63333333333337)
((2006, 12), 29.733333333333334)
((2006, 11), 71.71666666666668)
((2006, 10), 118.16666666666663)
((2006, 9), 19.26666666666667)
((2006, 8), 148.08333333333331)
((2006, 7), 28.98333333333333)
((2006, 6), 31.13333333333334)
((2006, 5), 52.33333333333335)
((2006, 4), 44.366666666666696)
((2006, 3), 27.866666666666664)
((2006, 2), 34.75000000000005)
((2006, 1), 17.683333333333334)
((2005, 12), 56.633333333333404)
((2005, 11), 32.60000000000001)
((2005, 10), 38.05000000000001)
((2005, 9), 13.949999999999998)
((2005, 8), 76.96666666666667)
((2005, 7), 104.34999999999998)
((2005, 6), 67.96666666666667)
((2005, 5), 55.38333333333335)
((2005, 4), 11.65)
((2005, 3), 23.46666666666667)
((2005, 2), 33.500000000000036)
((2005, 1), 18.05)
((2004, 12), 24.25)
((2004, 11), 54.133333333333354)
((2004, 10), 78.18333333333332)
((2004, 9), 37.20000000000001)
((2004, 8), 75.48333333333333)
((2004, 7), 95.99999999999996)
((2004, 6), 56.850000000000016)
((2004, 5), 39.70000000000002)
((2004, 4), 20.61666666666667)
((2004, 3), 28.483333333333338)
((2004, 2), 27.350000000000012)
((2004, 1), 26.400000000000016)
((2003, 12), 52.116666666666674)
((2003, 11), 54.45000000000002)
((2003, 10), 45.58333333333334)
((2003, 9), 8.883333333333333)
((2003, 8), 55.28333333333334)
((2003, 7), 113.46666666666665)
((2003, 6), 66.66666666666667)
((2003, 5), 68.45000000000002)
((2003, 4), 51.416666666666664)
((2003, 3), 6.8999999999999995)
((2003, 2), 9.116666666666665)
((2003, 1), 17.716666666666672)
((2002, 12), 20.916666666666668)
((2002, 11), 53.683333333333394)
((2002, 10), 60.50000000000002)
((2002, 9), 16.066666666666666)
((2002, 8), 8.249999999999998)
((2002, 7), 80.51666666666667)
((2002, 6), 98.7833333333333)
((2002, 5), 72.13333333333334)
((2002, 4), 29.916666666666668)
((2002, 3), 26.933333333333337)
((2002, 2), 47.583333333333364)
((2002, 1), 55.00000000000001)
((2001, 12), 35.18333333333335)
((2001, 11), 26.38333333333334)
((2001, 10), 60.48333333333335)
((2001, 9), 110.63333333333327)
((2001, 8), 69.96666666666668)
((2001, 7), 40.28333333333334)
((2001, 6), 26.76666666666667)
((2001, 5), 33.983333333333334)
((2001, 4), 46.066666666666684)
((2001, 3), 30.26666666666667)
((2001, 2), 36.7666666666667)
((2001, 1), 36.41666666666668)
((2000, 12), 63.26666666666666)
((2000, 11), 108.1166666666666)
((2000, 10), 110.29999999999997)
((2000, 9), 27.516666666666676)
((2000, 8), 54.85000000000002)
((2000, 7), 135.86666666666662)
((2000, 6), 62.01666666666667)
((2000, 5), 25.31666666666668)
((2000, 4), 36.16666666666668)
((2000, 3), 21.683333333333337)
((2000, 2), 24.050000000000008)
((2000, 1), 18.616666666666674)
((1999, 12), 66.00000000000004)
((1999, 11), 18.45)
((1999, 10), 18.549999999999997)
((1999, 9), 55.51666666666667)
((1999, 8), 54.80000000000002)
((1999, 7), 29.08333333333334)
((1999, 6), 50.25000000000002)
((1999, 5), 27.38333333333334)
((1999, 4), 54.55000000000001)
((1999, 3), 42.233333333333384)
((1999, 2), 25.149999999999995)
((1999, 1), 61.933333333333394)
((1998, 12), 59.38333333333336)
((1998, 11), 28.96666666666668)
((1998, 10), 53.41666666666671)
((1998, 9), 56.83333333333335)
((1998, 8), 86.46666666666664)
((1998, 7), 85.16666666666664)
((1998, 6), 88.88333333333333)
((1998, 5), 38.36666666666669)
((1998, 4), 44.41666666666668)
((1998, 3), 33.90000000000003)
((1998, 2), 50.03333333333334)
((1998, 1), 44.31666666666671)
((1997, 12), 69.60000000000002)
((1997, 11), 64.45000000000006)
((1997, 10), 58.15000000000001)
((1997, 9), 43.56666666666667)
((1997, 8), 24.61666666666667)
((1997, 7), 41.966666666666676)
((1997, 6), 86.98333333333335)
((1997, 5), 60.79999999999999)
((1997, 4), 25.950000000000006)
((1997, 3), 9.55)
((1997, 2), 35.43333333333336)
((1997, 1), 5.783333333333332)
((1996, 12), 39.55000000000003)
((1996, 11), 67.11666666666665)
((1996, 10), 22.45)
((1996, 9), 57.46666666666667)
((1996, 8), 37.716666666666676)
((1996, 7), 84.03333333333329)
((1996, 6), 51.666666666666686)
((1996, 5), 63.23333333333335)
((1996, 4), 8.1)
((1996, 3), 10.033333333333331)
((1996, 2), 15.733333333333333)
((1996, 1), 10.416666666666663)
((1995, 12), 5.116666666666666)
((1995, 11), 31.600000000000005)
((1995, 10), 20.86666666666666)
((1995, 9), 134.55)
((1995, 8), 16.049999999999997)
((1995, 7), 43.6)
((1995, 6), 97.19999999999987)
((1995, 5), 26.00000000000002)
((1995, 4), 61.7)
((1995, 3), 34.40000000000001)
((1995, 2), 31.800000000000004)
((1995, 1), 26.00000000000001)
((1994, 12), 50.90000000000001)
((1994, 11), 15.699999999999992)
((1994, 10), 33.20000000000001)
((1994, 9), 94.59999999999991)
((1994, 8), 58.80000000000002)
((1994, 7), 0.0)
((1994, 6), 45.10000000000002)
((1994, 5), 25.100000000000005)
((1994, 4), 23.100000000000005)
((1994, 3), 37.60000000000004)
((1994, 2), 22.500000000000004)
((1994, 1), 22.099999999999994)
((1993, 12), 37.10000000000003)
((1993, 11), 42.80000000000003)
((1993, 10), 43.2)
((1993, 9), 40.6)
