((12, 2014), 5)
((12, 2013), 24)
((12, 2011), 479)
((12, 2007), 9)
((12, 2006), 1352)
((12, 2005), 2)
((12, 2000), 241)
((12, 1999), 1)
((12, 1994), 122)
((12, 1993), 2)
((12, 1991), 15)
((12, 1990), 9)
((12, 1989), 32)
((12, 1987), 7)
((12, 1986), 324)
((12, 1984), 13)
((12, 1983), 11)
((12, 1979), 164)
((12, 1977), 29)
((12, 1975), 1)
((12, 1974), 18)
((12, 1972), 35)
((12, 1971), 73)
((12, 1970), 2)
((12, 1967), 13)
((12, 1964), 88)
((12, 1963), 1)
((12, 1961), 14)
((12, 1960), 2)
((12, 1958), 5)
((12, 1957), 6)
((12, 1956), 24)
((12, 1955), 32)
((12, 1954), 9)
((12, 1953), 278)
((12, 1951), 8)
((12, 1950), 1)
((11, 2014), 8498)
((11, 2013), 1833)
((11, 2012), 300)
((11, 2011), 4416)
((11, 2010), 503)
((11, 2009), 1586)
((11, 2008), 1663)
((11, 2007), 1843)
((11, 2006), 4575)
((11, 2005), 9819)
((11, 2004), 1254)
((11, 2003), 459)
((11, 2001), 2373)
((11, 2000), 1477)
((11, 1999), 4872)
((11, 1997), 335)
((11, 1996), 5227)
((11, 1995), 69)
((11, 1994), 744)
((11, 1993), 5)
((11, 1992), 279)
((11, 1991), 181)
((11, 1990), 206)
((11, 1989), 1406)
((11, 1988), 3)
((11, 1987), 176)
((11, 1986), 1516)
((11, 1985), 34)
((11, 1984), 1339)
((11, 1983), 726)
((11, 1982), 2165)
((11, 1981), 167)
((11, 1980), 347)
((11, 1979), 44)
((11, 1978), 5426)
((11, 1977), 2517)
((11, 1976), 133)
((11, 1975), 771)
((11, 1974), 112)
((11, 1973), 475)
((11, 1972), 1470)
((11, 1971), 2513)
((11, 1970), 118)
((11, 1969), 623)
((11, 1968), 887)
((11, 1967), 508)
((11, 1966), 213)
((11, 1965), 288)
((11, 1964), 73)
((11, 1963), 93)
((11, 1962), 437)
((11, 1961), 601)
((11, 1960), 130)
((11, 1959), 50)
((11, 1958), 36)
((11, 1957), 486)
((11, 1956), 13)
((11, 1955), 89)
((11, 1954), 39)
((11, 1953), 194)
((11, 1952), 1)
((11, 1951), 101)
((11, 1950), 2)
((10, 2014), 43359)
((10, 2013), 38937)
((10, 2012), 19135)
((10, 2011), 26630)
((10, 2010), 15866)
((10, 2009), 5986)
((10, 2008), 27225)
((10, 2007), 18619)
((10, 2006), 44892)
((10, 2005), 33681)
((10, 2004), 16027)
((10, 2003), 9300)
((10, 2002), 5196)
((10, 2001), 44873)
((10, 2000), 52501)
((10, 1999), 19156)
((10, 1998), 10233)
((10, 1997), 13322)
((10, 1996), 23954)
((10, 1995), 34047)
((10, 1994), 7348)
((10, 1993), 9040)
((10, 1992), 5125)
((10, 1991), 14675)
((10, 1990), 16976)
((10, 1989), 17690)
((10, 1988), 12371)
((10, 1987), 18683)
((10, 1986), 12061)
((10, 1985), 17017)
((10, 1984), 19880)
((10, 1983), 12074)
((10, 1982), 12225)
((10, 1981), 10455)
((10, 1980), 7842)
((10, 1979), 7415)
((10, 1978), 13057)
((10, 1977), 15108)
((10, 1976), 8240)
((10, 1975), 14775)
((10, 1974), 2722)
((10, 1973), 8640)
((10, 1972), 11248)
((10, 1971), 14650)
((10, 1970), 11325)
((10, 1969), 14305)
((10, 1968), 10238)
((10, 1967), 20044)
((10, 1966), 11801)
((10, 1965), 15612)
((10, 1964), 9006)
((10, 1963), 8928)
((10, 1962), 15858)
((10, 1961), 22907)
((10, 1960), 3969)
((10, 1959), 6748)
((10, 1958), 9129)
((10, 1957), 5582)
((10, 1956), 5683)
((10, 1955), 8001)
((10, 1954), 2445)
((10, 1953), 6002)
((10, 1952), 396)
((10, 1951), 3508)
((10, 1950), 1381)
((9, 2014), 87131)
((9, 2013), 83042)
((9, 2012), 71840)
((9, 2011), 100637)
((9, 2010), 76266)
((9, 2009), 90111)
((9, 2008), 62247)
((9, 2007), 62572)
((9, 2006), 98083)
((9, 2005), 76571)
((9, 2004), 74571)
((9, 2003), 71314)
((9, 2002), 66903)
((9, 2001), 81025)
((9, 2000), 65075)
((9, 1999), 90278)
((9, 1998), 77610)
((9, 1997), 75582)
((9, 1996), 45183)
((9, 1995), 46831)
((9, 1994), 34894)
((9, 1993), 20825)
((9, 1992), 40886)
((9, 1991), 39021)
((9, 1990), 35374)
((9, 1989), 51146)
((9, 1988), 52494)
((9, 1987), 36363)
((9, 1986), 27198)
((9, 1985), 29142)
((9, 1984), 27853)
((9, 1983), 39730)
((9, 1982), 38346)
((9, 1981), 38278)
((9, 1980), 43286)
((9, 1979), 34870)
((9, 1978), 30215)
((9, 1977), 29149)
((9, 1976), 29591)
((9, 1975), 50514)
((9, 1974), 48621)
((9, 1973), 30533)
((9, 1972), 28459)
((9, 1971), 31823)
((9, 1970), 32340)
((9, 1969), 34183)
((9, 1968), 33327)
((9, 1967), 42677)
((9, 1966), 31606)
((9, 1965), 43772)
((9, 1964), 27594)
((9, 1963), 37394)
((9, 1962), 27349)
((9, 1961), 29960)
((9, 1960), 16808)
((9, 1959), 16150)
((9, 1958), 18713)
((9, 1957), 13243)
((9, 1956), 16118)
((9, 1955), 19703)
((9, 1954), 10056)
((9, 1953), 10093)
((9, 1952), 5667)
((9, 1951), 9899)
((9, 1950), 3791)
((8, 2014), 125006)
((8, 2013), 128920)
((8, 2012), 125947)
((8, 2011), 133483)
((8, 2010), 125135)
((8, 2009), 129007)
((8, 2008), 115242)
((8, 2007), 111030)
((8, 2006), 128039)
((8, 2005), 114580)
((8, 2004), 114776)
((8, 2003), 109213)
((8, 2002), 126495)
((8, 2001), 114795)
((8, 2000), 110268)
((8, 1999), 98334)
((8, 1998), 102686)
((8, 1997), 121601)
((8, 1996), 108241)
((8, 1995), 67424)
((8, 1994), 55467)
((8, 1993), 52583)
((8, 1992), 61133)
((8, 1991), 71589)
((8, 1990), 68106)
((8, 1989), 68390)
((8, 1988), 70621)
((8, 1987), 59568)
((8, 1986), 44862)
((8, 1985), 56699)
((8, 1984), 52946)
((8, 1983), 53816)
((8, 1982), 57086)
((8, 1981), 54226)
((8, 1980), 57491)
((8, 1979), 57178)
((8, 1978), 55756)
((8, 1977), 58772)
((8, 1976), 62130)
((8, 1975), 63533)
((8, 1974), 65873)
((8, 1973), 60803)
((8, 1972), 54764)
((8, 1971), 54383)
((8, 1970), 55365)
((8, 1969), 55802)
((8, 1968), 52278)
((8, 1967), 55261)
((8, 1966), 52147)
((8, 1965), 51189)
((8, 1964), 44882)
((8, 1963), 50485)
((8, 1962), 44960)
((8, 1961), 38829)
((8, 1960), 24979)
((8, 1959), 23997)
((8, 1958), 25844)
((8, 1957), 24829)
((8, 1956), 22474)
((8, 1955), 24733)
((8, 1954), 16338)
((8, 1953), 16080)
((8, 1952), 12251)
((8, 1951), 14061)
((8, 1950), 6015)
((7, 2014), 147910)
((7, 2013), 134297)
((7, 2012), 138166)
((7, 2011), 147060)
((7, 2010), 143860)
((7, 2009), 133570)
((7, 2008), 127627)
((7, 2007), 123896)
((7, 2006), 125192)
((7, 2005), 125651)
((7, 2004), 120189)
((7, 2003), 128360)
((7, 2002), 128354)
((7, 2001), 121192)
((7, 2000), 120460)
((7, 1999), 116918)
((7, 1998), 120912)
((7, 1997), 123854)
((7, 1996), 100745)
((7, 1995), 53679)
((7, 1994), 60928)
((7, 1993), 60476)
((7, 1992), 63397)
((7, 1991), 73718)
((7, 1990), 70509)
((7, 1989), 68378)
((7, 1988), 75784)
((7, 1987), 68759)
((7, 1986), 56146)
((7, 1985), 57016)
((7, 1984), 54858)
((7, 1983), 57172)
((7, 1982), 58176)
((7, 1981), 59911)
((7, 1980), 60062)
((7, 1979), 61237)
((7, 1978), 61562)
((7, 1977), 59987)
((7, 1976), 64960)
((7, 1975), 65116)
((7, 1974), 67336)
((7, 1973), 71766)
((7, 1972), 60123)
((7, 1971), 55662)
((7, 1970), 56699)
((7, 1969), 54941)
((7, 1968), 53705)
((7, 1967), 54385)
((7, 1966), 56062)
((7, 1965), 50890)
((7, 1964), 47541)
((7, 1963), 49850)
((7, 1962), 46625)
((7, 1961), 39821)
((7, 1960), 25869)
((7, 1959), 25576)
((7, 1958), 24923)
((7, 1957), 26092)
((7, 1956), 24835)
((7, 1955), 25149)
((7, 1954), 16778)
((7, 1953), 16457)
((7, 1952), 13585)
((7, 1951), 12760)
((7, 1950), 5874)
((6, 2014), 102865)
((6, 2013), 123133)
((6, 2012), 95798)
((6, 2011), 126084)
((6, 2010), 103905)
((6, 2009), 88994)
((6, 2008), 103795)
((6, 2007), 103869)
((6, 2006), 103404)
((6, 2005), 91843)
((6, 2004), 90781)
((6, 2003), 100669)
((6, 2002), 114736)
((6, 2001), 94437)
((6, 2000), 87718)
((6, 1999), 104100)
((6, 1998), 83947)
((6, 1997), 105499)
((6, 1996), 81580)
((6, 1995), 49783)
((6, 1994), 44057)
((6, 1993), 40091)
((6, 1992), 61114)
((6, 1991), 47472)
((6, 1990), 59321)
((6, 1989), 61745)
((6, 1988), 64141)
((6, 1987), 46959)
((6, 1986), 52843)
((6, 1985), 45755)
((6, 1984), 49936)
((6, 1983), 50053)
((6, 1982), 40120)
((6, 1981), 46302)
((6, 1980), 56828)
((6, 1979), 57325)
((6, 1978), 56672)
((6, 1977), 52848)
((6, 1976), 55976)
((6, 1975), 50205)
((6, 1974), 57023)
((6, 1973), 60939)
((6, 1972), 51306)
((6, 1971), 47448)
((6, 1970), 52255)
((6, 1969), 46706)
((6, 1968), 51948)
((6, 1967), 46669)
((6, 1966), 52444)
((6, 1965), 49916)
((6, 1964), 41802)
((6, 1963), 44378)
((6, 1962), 39056)
((6, 1961), 38097)
((6, 1960), 24302)
((6, 1959), 22449)
((6, 1958), 20332)
((6, 1957), 19553)
((6, 1956), 21633)
((6, 1955), 17869)
((6, 1954), 14039)
((6, 1953), 15278)
((6, 1952), 10654)
((6, 1951), 10192)
((6, 1950), 4953)
((5, 2014), 58340)
((5, 2013), 83128)
((5, 2012), 53960)
((5, 2011), 60425)
((5, 2010), 53027)
((5, 2009), 62118)
((5, 2008), 58438)
((5, 2007), 50541)
((5, 2006), 46748)
((5, 2005), 40508)
((5, 2004), 49113)
((5, 2003), 49447)
((5, 2002), 67336)
((5, 2001), 44819)
((5, 2000), 59592)
((5, 1999), 37809)
((5, 1998), 44985)
((5, 1997), 30815)
((5, 1996), 22230)
((5, 1995), 18376)
((5, 1994), 22279)
((5, 1993), 35617)
((5, 1992), 34325)
((5, 1991), 20591)
((5, 1990), 35304)
((5, 1989), 37040)
((5, 1988), 36597)
((5, 1987), 17996)
((5, 1986), 30824)
((5, 1985), 24468)
((5, 1984), 37106)
((5, 1983), 30109)
((5, 1982), 22259)
((5, 1981), 36033)
((5, 1980), 23026)
((5, 1979), 27842)
((5, 1978), 29517)
((5, 1977), 25984)
((5, 1976), 33936)
((5, 1975), 33103)
((5, 1974), 30695)
((5, 1973), 29555)
((5, 1972), 23085)
((5, 1971), 28806)
((5, 1970), 25240)
((5, 1969), 19973)
((5, 1968), 16623)
((5, 1967), 23674)
((5, 1966), 24293)
((5, 1965), 17236)
((5, 1964), 28140)
((5, 1963), 30197)
((5, 1962), 13893)
((5, 1961), 18010)
((5, 1960), 14918)
((5, 1959), 13138)
((5, 1958), 9666)
((5, 1957), 9690)
((5, 1956), 12696)
((5, 1955), 4724)
((5, 1954), 8783)
((5, 1953), 7334)
((5, 1952), 4962)
((5, 1951), 3579)
((5, 1950), 2958)
((4, 2014), 20408)
((4, 2013), 7549)
((4, 2012), 7041)
((4, 2011), 28693)
((4, 2010), 9878)
((4, 2009), 23920)
((4, 2008), 17474)
((4, 2007), 20067)
((4, 2006), 5357)
((4, 2005), 13190)
((4, 2004), 14868)
((4, 2003), 12071)
((4, 2002), 13244)
((4, 2001), 4853)
