year,month,value
1957,9,12572
1999,4,12538
1959,5,12445
1962,5,12091
1956,5,12050
1975,10,12040
1952,8,12018
1978,10,11976
2003,4,11786
1988,10,11426
1996,4,11402
1986,10,11324
1982,10,11196
1968,4,11186
1983,10,11157
1990,4,10696
1952,6,10264
1966,10,10228
1974,4,10120
1951,6,9918
1981,10,9882
1953,9,9759
1954,9,9688
1970,10,9606
1972,10,9601
1951,9,9601
2010,4,9488
1998,4,9479
1998,10,9429
2005,11,9126
1957,5,9111
1958,5,9076
1993,4,9035
1968,10,8851
2003,10,8830
2015,11,8746
1958,10,8542
1993,10,8530
1954,5,8464
2014,11,8139
1994,4,8115
1973,10,7882
1955,10,7518
1964,10,7500
2013,4,7169
1961,4,7084
1980,10,7079
1953,5,7001
1963,10,6970
1976,10,6951
1984,4,6937
1989,4,6907
1979,10,6806
2012,3,6770
2012,4,6727
1994,10,6699
1991,4,6597
1987,4,6386
1964,4,6336
1959,10,5967
1950,8,5954
1950,7,5811
2009,10,5612
1949,7,5576
1953,10,5488
2016,4,5443
1952,9,5347
2007,3,5252
1975,4,5211
1949,8,5159
2006,4,5115
1956,10,5110
1996,11,4976
1980,4,4972
1949,9,4939
2002,10,4939
1950,6,4886
1992,10,4763
1978,11,4743
1957,10,4681
1952,5,4660
2001,4,4577
1965,4,4512
1999,11,4466
1949,6,4276
2014,3,4213
1955,5,4195
1981,4,4172
1982,4,4172
2006,11,4144
1962,4,4068
2011,11,4032
1959,4,3866
1997,4,3756
1983,4,3657
1950,9,3612
2003,3,3581
1969,4,3550
1960,10,3518
1967,4,3483
1990,3,3455
1988,4,3385
1951,5,3345
1951,10,3169
1976,4,3153
1995,4,3037
1949,5,2949
1957,4,2923
1966,4,2917
1950,5,2802
1963,4,2644
2015,12,2432
1971,4,2246
1978,4,2178
2001,11,2161
1973,3,2158
1986,4,2146
1954,10,2121
1971,11,2119
1977,11,2064
1952,4,1982
1949,10,1958
1974,10,1897
1953,4,1871
1982,11,1826
2007,11,1786
2004,3,1771
1960,4,1723
1992,4,1688
2002,3,1688
1979,4,1684
2013,11,1595
2015,3,1551
1977,4,1540
1997,3,1534
1972,4,1524
1961,3,1511
1973,4,1509
2008,11,1494
2016,3,1452
1974,3,1427
1968,3,1403
2009,11,1369
2005,3,1296
1999,3,1262
1950,10,1248
2000,3,1235
2006,12,1201
1986,11,1198
2000,11,1185
1984,11,1173
2016,7,1162
1990,2,1160
1998,3,1150
1989,11,1126
2004,11,1066
1972,11,993
1982,3,925
1955,4,876
1989,3,827
1968,11,793
1985,4,767
1951,4,690
2011,3,685
1994,11,625
1972,3,623
1991,3,608
1983,11,596
1958,4,570
1956,4,570
1949,4,548
1965,3,523
2010,3,506
2008,3,474
1959,3,450
1967,3,446
1969,11,444
1975,11,441
1953,3,427
2011,12,425
2010,11,414
1945,7,401
1961,11,395
1981,3,395
2003,11,373
1945,6,371
1950,4,352
1957,11,348
1973,11,345
1970,4,323
1993,3,310
1947,9,310
1978,3,306
1945,8,305
1952,10,289
1947,7,279
1947,8,271
1962,11,267
1997,11,262
1980,11,256
2012,11,255
1967,11,253
1948,6,252
1947,6,251
1945,5,248
1948,7,248
1942,8,247
1944,7,247
1944,8,246
1943,8,245
1943,7,245
1942,7,244
1992,11,241
1948,8,241
1986,12,236
1953,12,231
1954,4,231
1943,6,230
1957,3,227
1947,5,217
1946,8,215
1941,8,215
1946,7,215
1956,3,211
1943,9,207
1992,3,206
2012,2,206
1946,6,197
1994,3,188
1944,9,187
1941,7,185
1941,9,182
1942,9,182
1948,9,182
1946,9,182
1948,5,176
1944,6,175
2000,12,175
2007,1,175
1965,11,173
1998,2,169
1966,11,169
1990,11,168
1941,6,167
1977,3,154
2009,3,152
1989,2,149
1942,6,148
1949,3,146
1945,9,145
1987,11,144
1946,5,139
1991,11,138
2005,1,135
1947,10,125
1953,11,120
2002,2,118
1979,12,115
1981,11,113
1943,10,106
1995,3,102
1994,12,96
1943,5,94
2008,2,91
1961,2,89
1960,11,88
1970,11,85
1976,11,82
1950,3,81
1954,3,77
1948,4,74
1945,10,74
1989,1,72
1951,11,70
